variant	concurrency	completed	ttft_p50_ms	tpot_p50_ms	itl_p50_ms	output_throughput_tok_s	request_throughput_req_s	duration_s	accept_length
baseline	1	64	44.3	8.88	8.87	110.33	0.431	148.5	0.000
baseline	8	64	52.3	20.46	20.66	384.19	1.501	42.6	0.000
baseline	32	256	204.6	33.58	34.16	937.60	3.662	69.9	0.000
baseline	64	512	141.5	39.15	40.48	1603.45	6.263	81.7	0.000
nextn	1	64	75.6	10.82	9.88	91.31	0.357	179.4	1.954
nextn	8	64	107.9	23.30	20.33	335.02	1.309	48.9	1.948
nextn	32	256	135.8	46.18	39.11	681.01	2.660	96.2	1.949
nextn	64	512	3075.1	53.26	44.00	883.10	3.450	148.4	1.950
eagle2	1	64	73.4	10.28	8.80	95.18	0.372	172.1	2.308
eagle2	8	64	112.0	22.00	16.73	350.68	1.370	46.7	2.300
eagle2	32	256	140.3	42.45	40.37	731.24	2.856	89.6	2.296
eagle2	64	512	2391.8	47.88	45.41	972.07	3.797	134.8	2.294
eagle3	1	64	72.8	14.56	17.26	71.71	0.280	228.5	1.434
eagle3	8	64	104.7	30.56	36.31	256.26	1.001	63.9	1.412
eagle3	32	256	133.8	63.13	71.72	519.45	2.029	126.2	1.406
eagle3	64	512	5908.2	73.56	80.18	671.72	2.624	195.1	1.398
