run,latency_s,input_tokens,output_tokens,tpot_ms
0,0.4188519585877657,75,128,3.2722809264669195
1,0.413186751306057,66,128,3.22802149457857
2,0.42328943498432636,72,128,3.3069487108150497
3,0.4239348378032446,64,128,3.3119909203378484
4,0.4265302997082472,72,128,3.332267966470681
5,0.43184272944927216,71,128,3.3737713238224387
6,0.41965907625854015,70,128,3.278586533269845
7,0.6249924376606941,78,128,4.882753419224173
8,0.4531852025538683,70,128,3.540509394952096
9,0.4725444782525301,72,128,3.6917537363478914
